insee;gid;lon;lat
69259;5757;4,8827723;45,7182896
69386;5758;4,8465092;45,7796016
69385;5759;4,8262985;45,7579026
69259;5760;4,9054152;45,7153584
69383;5761;4,840446;45,760204
69381;5762;4,8261181;45,7716847
69385;5763;4,815657;45,7588676
69383;5764;4,8666267;45,7533132
69383;5765;4,8517834;45,7611041
69293;5766;4,8805304;45,8354779
69382;5767;4,8302556;45,7576287
69266;5768;4,8964656;45,763096
69266;5769;4,8696224;45,7831194
69388;5770;4,879024;45,7334963
69386;5771;4,8486002;45,7773528
69029;5772;4,8998398;45,723243
69382;5773;4,8334103;45,756813
69387;5774;4,8231846;45,7276281
69382;5775;4,8317527;45,759698
69382;5776;4,8318422;45,7584014
69029;5777;4,9043107;45,7223757
69383;5778;4,8453427;45,7566467
69386;5779;4,8421777;45,767956
69256;5780;4,9110385999999995;45,7867126
69259;5781;4,8852415;45,7191629
69383;5782;4,8407069;45,7625158
69259;5783;4,8995863;45,715914
69384;5784;4,8295229;45,7758471
69383;5785;4,8765229;45,7481582
69256;5786;4,9112299;45,7867152
69386;5787;4,8506723;45,7749586
69259;5788;4,8588236;45,7247863
69259;5789;4,9071961;45,718964
69259;5790;4,883183;45,718472
69386;5791;4,8424989;45,7681763
69383;5792;4,8408045;45,7628853
69383;5793;4,8763103;45,7482677
69386;5794;4,8501668;45,7825206
69382;5795;4,818237;45,7456193
69387;5796;4,8313421;45,7311628
69256;5797;4,9088273000000004;45,7862972
69290;5798;4,9460223;45,7002619
69259;5799;4,8998484;45,7141633
69383;5800;4,8483119;45,7558033
69293;5801;4,8709866;45,8375246
69383;5802;4,8761091;45,7483608
69386;5803;4,8438372;45,7684173
69389;5804;4,7930804;45,7839884
69029;5805;4,9114659;45,7237955
69256;5806;4,916237;45,7856769
69386;5807;4,8416145;45,7688984
69384;5808;4,8130781;45,7748837
69384;5809;4,8302115;45,7774429
69385;5810;4,8253536;45,7572239
69387;5811;4,8292387;45,7310063
69256;5812;4,9310111;45,7563159
69383;5813;4,8450016;45,7568937
69382;5814;4,8306058;45,75714
69389;5815;4,8062100999999995;45,7719389
69382;5816;4,8315516;45,7550723
69386;5817;4,8478761;45,7644177
69271;5818;4,9563921;45,7234182
69382;5819;4,833165;45,7580375
69383;5820;4,8409568;45,761164
69384;5821;4,812571;45,7748376
69383;5822;4,8483144;45,7559149
69259;5823;4,9011379;45,713617
69256;5824;4,9262138;45,7766764
69388;5825;4,8689919;45,7417183
69271;5826;4,963444;45,7274809
69383;5827;4,8407911;45,7627855
69384;5828;4,8264908;45,774082
69034;5829;4,8678517;45,7987028
69382;5830;4,8301145;45,7572203
69381;5831;4,8360923;45,7692225
69290;5832;4,9562042;45,7221223
69383;5833;4,8774422;45,7476243
69384;5834;4,8302822;45,7774429
69386;5835;4,8469888999999995;45,780635
69386;5836;4,8511184;45,782068699999996
69386;5837;4,8456791;45,7793632
69387;5838;4,8313235;45,731066
69383;5839;4,8812335000000004;45,7433112
69385;5840;4,8204027;45,7667764
69259;5841;4,8810131;45,7176882
69381;5842;4,8360707;45,7663918
69088;5843;4,8467928;45,8328753
69385;5844;4,8155656;45,7588065
69276;5845;4,8587846;45,6807465
69383;5846;4,8449115;45,7633346
69386;5847;4,8507269;45,7751364
69266;5848;4,8738437999999995;45,7822174
69384;5849;4,8130600999999995;45,774837
69386;5850;4,8575657;45,7657272
69386;5851;4,8569694;45,7817566
69382;5852;4,8301248;45,7574064
69386;5853;4,8530212;45,7839036
69385;5854;4,8203162;45,7667537
69259;5855;4,8999546;45,7176601
69384;5856;4,8127062;45,7748561
69381;5857;4,8344503;45,7725827
69271;5858;4,9718915;45,7386726
69385;5859;4,8256848;45,7577045
69389;5860;4,7919488999999995;45,7843222
69388;5861;4,8699774;45,7296809
69266;5862;4,8838124;45,759367
69259;5863;4,8802303;45,6942694
69386;5864;4,8478943;45,7643192
69259;5865;4,8795904;45,7166474
69385;5866;4,8272963;45,7602031
69382;5867;4,8305779;45,7574626
69259;5868;4,8645437;45,6928013
69386;5869;4,8443749;45,7658636
69387;5870;4,8229633;45,7276167
69383;5871;4,8571849;45,7599568
69382;5872;4,831027;45,7572818
69266;5873;4,8661365;45,773741
69383;5874;4,876838;45,7478259
69389;5875;4,8061608;45,7720633
69290;5876;4,922876;45,7078098
69384;5877;4,8117272;45,7758347
69381;5878;4,8155611;45,7686537
69388;5879;4,8737222;45,7344972
69386;5880;4,8419118999999995;45,7685034
69256;5881;4,9247339;45,7590449
69386;5882;4,8583911;45,7672733
69382;5883;4,8301625999999995;45,7572125
69383;5884;4,8812248;45,7424895
69388;5885;4,8740452;45,7317219
69386;5886;4,8580576;45,774336
69290;5887;4,9439637;45,6974425
