nom;indiccanop;gid
Place des 39 Fusillés;0,15;620
Jardin Place de Paris;0,33;621
Place Valmy;0,00;622
Place Valmy;0,25;623
Place Valmy;0,00;624
Promenade de la Sarra;0,62;625
Place de Fourvière;0,00;626
Place du Cloître de Fourvière;0,00;627
Jardin du Belvédère;0,67;628
Place de la Trinité;0,00;629
Place Edouard Commette;1,00;630
Place Saint Jean;0,00;631
Place Neuve Saint-Jean;0,00;632
Place de la Baleine;0,23;633
Place du Gouvernement;0,22;634
Place du Petit Collège;0,41;635
Place Saint Paul;0,00;636
Place Gerson;0,10;637
Rives de Saône Quai Saint-Vincent;0,08;638
Place le Viste;0,28;639
Place de l'Hôpital;0,00;640
Place des Jacobins;0,00;641
Place des Cordeliers;0,00;642
Place d'Albon;0,00;643
Place Meissonier;0,00;644
Berges Anna Lindh;0,00;645
Berges Anna Lindh;0,07;646
Berges Bertha Von Suttner;0,38;647
;0,00;898
Rives de Saône Quai Maréchal Joffre;0,03;650
Rives de Saône Quai Tilsitt;0,52;651
Rives de Saône Quai des Célestins;0,00;652
Rives de Saône Quai Saint Antoine;0,00;653
Rives de Saône Quai Pêcherie;0,52;654
Esplanade Duqaire;0,00;655
Rives de Saône Quai Bas Porte Gillet;0,24;656
Rive de Saône Chemin Nature;0,42;657
Parc de la Maison du Fleuve Rhône;0,51;658
Parc du manoir;0,69;659
Parc de la Mairie de Grigny;0,71;660
Parc des Berges;0,44;661
Parc de l'Orangerie;0,66;667
Jardin de la Condamine;0,31;668
Parc des Berges;0,35;662
Parc Historique de Beauregard;0,36;663
Fort de Côte Lorette;0,40;664
Parc de Faury;0,37;665
Grand Moulin de l'Yzeron;0,54;666
Boulevard de la République;0,81;782
Parc du Vivier;0,54;669
Place Carnot;0,55;670
Place Bellecour;0,10;671
Jardin du Palais Saint Pierre;0,89;672
Jardins des Chartreux;0,80;673
Promenade de la Rize;0,31;783
Parc de Saint Clair;0,21;674
Parc Brosset;0,46;675
Parc des Horizons;0,08;676
Parc des Gorges d'Enfer;0,65;677
Parc de Rancé;0,57;678
Jardin de l'Institut Lumiere;0,56;679
Promenade de la Rize;0,31;784
Parc Chambovet;0,52;680
Parc Maurice Sauthier;0,59;681
Jardin des Droits de l'Homme;0,55;682
Grand Large;0,03;683
Parc de la Cerisaie;0,75;689
Parc de Gerland;0,20;693
Parc de Parilly;0,68;694
Parc de Parilly;0,84;695
;0,54;1001
Forêt de Feuilly;0,80;684
Parc Paul Mouyon;0,62;685
Parc Théodore Monod;0,18;686
Parc Blandan;0,23;692
Parc de Parilly;0,80;696
Parc de la Feyssine;0,61;687
Quai des Berges Renata Tebaldi;0,65;697
Parc du Vivier;0,82;698
Grand Parc de Miribel-Jonage;0,49;723
Parc de la Tête d'Or;0,46;688
;0,00;899
Domaine de Lacroix Laval;0,68;690
Parc des hauteurs et Jardins du Rosaire;0,73;691
Parc de Parilly;0,84;710
;0,00;900
Promenade Lénine;0,44;699
Jardin des Berges Melina Mercouri;0,02;700
Parc du Vallon;0,54;701
Voie Verte Parcours de Santé;0,94;702
Rive de Saône Quai Rambaud;0,09;703
Place des Docks;0,29;704
Rive de Saône;0,00;705
Parc de la Visitation;0,36;706
Jardin des Plantes;0,59;707
Parc de Parilly;0,77;708
Parc de Parilly;0,63;709
Promenade de la Rize;0,31;785
Grand Parc de Miribel-Jonage;0,76;711
Grand Parc de Miribel-Jonage;0,14;712
Grand Parc de Miribel-Jonage;0,88;713
Grand Parc de Miribel-Jonage;0,50;714
Grand Parc de Miribel-Jonage;0,79;715
Grand Parc de Miribel-Jonage;0,45;716
Grand Parc de Miribel-Jonage;0,76;717
Grand Parc de Miribel-Jonage;0,62;718
Grand Parc de Miribel-Jonage;0,64;719
Grand Parc de Miribel-Jonage;0,22;720
Grand Parc de Miribel-Jonage;0,67;721
Grand Parc de Miribel-Jonage;0,49;722
Promenade de la Rize;0,31;786
Grand Parc de Miribel-Jonage;0,49;724
Grand Parc de Miribel-Jonage;0,49;725
Parc de la Cité Berliet;0,41;726
Stade du Merlo;0,15;727
Parc du Prado;0,62;728
Chemin de la Herse;0,20;729
Place Louis Pradel;0,02;730
Allée du Frère Benoît;0,12;731
Terrain d'aventure;0,28;732
Parc de la Chauderaie;0,79;733
Parc du Grillon;0,41;734
Square Bulakian;0,02;735
Rue Maryse Bastié;0,41;736
Rue du Traité de Rome;0,14;755
Promenade de la Rize;0,31;787
Place des Palabres;0,00;737
Square Château Gaillard;0,54;738
Jardin Alexis-Jordan;0,78;739
Rue Colin;0,31;740
Parc Chanteur;0,44;741
Square M. Claeys;0,55;742
Parc des Droits de l'homme;0,62;743
Parc de la Maison Berty-Albrecht;0,19;744
Rue Félix Rollet;0,01;745
Place de l'Europe;0,59;746
Parc Georges Manillier;0,47;747
Rue du Centenaire;0,62;748
Place des Moulins du Rhône;0,00;749
Parc de la Roue;0,66;750
Chemin du Creux;0,92;842
Chemin de Contre-Halage;0,70;751
Chemin de Contre-Halage;0,70;752
Chemin de Contre-Halage;0,70;753
Chemin de Contre-Halage;0,70;754
Stade Francisque Jomard;0,03;756
Square Casanova;0,58;757
Rue des Violettes;0,07;758
Square Pressensé;0,00;759
Rue des Macchabées;0,09;760
Espace de Loisirs Coulouvrier;0,27;769
Rue Paul Eluard;0,00;770
Rue Paul Eluard;0,00;771
Rue Paul Eluard;0,00;772
Promenade Léa et Napoléon Bullukian;0,21;773
Promenade Parc de Miribel;0,01;774
Jardin partagé pédagogique La Pinède;0,00;775
Rue de Saint-Cyr;0,26;776
Face Cirque Imagine;0,01;777
Rue Franklin;0,00;778
Rue Jean Lurçat;0,00;779
Allée des Cyprès;0,60;780
Mairie annexe de Champagne;0,00;781
;0,00;901
Rue du Repos;0,75;761
Délaissé;0,42;762
Délaissé;0,42;763
Délaissé;0,42;764
Délaissé;0,42;765
Délaissé;0,42;766
Espace Noëlle Grégoire;0,00;767
Square Grimma;0,54;768
Promenade de la Rize;0,31;788
Promenade de la Rize;0,31;789
Promenade de la Rize;0,31;790
Promenade de la Rize;0,31;791
Promenade de la Rize;0,31;792
;0,00;1002
Promenade de la Rize;0,31;793
Stade Dumont;0,09;794
Garibaldi Berthelot;0,17;795
Avenue de l'Europe;0,06;796
Parc urbain de Vancia;0,69;797
;0,13;968
Square Agnès Neyret;0,00;798
Jardins familiaux;0,00;799
Jardins EDF;0,16;800
Chemin de la Rize;0,32;801
Rue des Farges;0,37;802
Place Docteur Schweitzer;0,68;803
Promenade parc de Miribel;0,69;804
Rue Georges Salendre;0,03;821
